Long_Desc                                                                    DHA
Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size               0.0
Hearts of palm, raw                                                          0.0
Turnip greens, canned, no salt added                                         0.0
Cranberry juice, unsweetened                                                 0.0
Tomato and vegetable juice, low sodium                                       0.0
Frozen novelties, juice type, orange                                         0.0
Jams, preserves, marmalade, reduced sugar                                    0.0
Beans, black turtle, mature seeds, cooked, boiled, without salt              0.0
Beans, great northern, mature seeds, raw (Phaseolus vulgaris)                0.0
Rolls, dinner, rye                                                           0.0
Tofu, raw, regular, prepared with calcium sulfate                            0.0
Candies, MARS SNACKFOOD US, M&M's Almond Chocolate Candies                   0.0
Soy sauce, reduced sodium, made from hydrolyzed vegetable protein            0.0
Beans, great northern, mature seeds, canned                                  0.0
Lentils, raw (Lens culinaris)                                                0.0
Lima beans, large, mature seeds, raw (Phaseolus lunatus)                     0.0
Lima beans, large, mature seeds, cooked, boiled, without salt                0.0
Lima beans, thin seeded (baby), mature seeds, raw (Phaseolus lunatus)        0.0
Mung beans, mature seeds, raw (Vigna radiata)                                0.0
Mung beans, mature seeds, cooked, boiled, without salt                       0.0
Noodles, chinese, cellophane or long rice (mung beans), dehydrated           0.0
Mungo beans, mature seeds, cooked, boiled, without salt                      0.0
Peas, green, split, mature seeds, raw (Pisum sativum)                        0.0
Peas, split, mature seeds, cooked, boiled, without salt                      0.0
Peanuts, all types, raw                                                      0.0
Peanuts, all types, cooked, boiled, with salt                                0.0
Peanuts, all types, oil-roasted, with salt                                   0.0
Peanuts, all types, dry-roasted, with salt                                   0.0
Peanuts, spanish, raw (Arachis hypogaea)                                     0.0
Peanuts, virginia, raw (Arachis hypogaea)                                    0.0
Peanut butter, chunk style, with salt                                        0.0
Peanut butter, smooth style, with salt                                       0.0
Peanut flour, defatted                                                       0.0
Refried beans, canned, traditional style (includes USDA commodity)           0.0
Bacon, meatless                                                              0.0
Sausage, meatless                                                            0.0
Soybeans, mature cooked, boiled, without salt                                0.0
Soybeans, mature seeds, roasted, salted                                      0.0
Lentils, mature seeds, cooked, boiled, without salt                          0.0
Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked,        0.0
Natto                                                                        0.0
Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw (Vig       0.0
Beans, kidney, all types, mature seeds, raw (Phaseolus vulgaris)             0.0
Beans, kidney, all types, mature seeds, cooked, boiled, without salt         0.0
Beans, kidney, all types, mature seeds, canned                               0.0
Beans, kidney, red, mature seeds, raw (Phaseolus vulgaris)                   0.0
Beans, kidney, red, mature seeds, cooked, boiled, without salt               0.0
Beans, kidney, red, mature seeds, canned, solids and liquids                 0.0
Beans, navy, mature seeds, raw (Phaseolus vulgaris)                          0.0
Beans, navy, mature seeds, cooked, boiled, without salt                      0.0
Beans, navy, mature seeds, canned                                            0.0
Beans, pink, mature seeds, raw (Phaseolus vulgaris)                          0.0
Beans, pink, mature seeds, cooked, boiled, without salt                      0.0
Beans, pinto, mature seeds, raw (Phaseolus vulgaris)                         0.0
Beans, pinto, mature seeds, cooked, boiled, without salt                     0.0
Beans, pinto, mature seeds, canned, solids and liquids                       0.0
Beans, yellow, mature seeds, cooked, boiled, without salt                    0.0
